,Product Link,Product Name,image,Star Rating,review_count,Price,Stock Status,Brand,Unit_Size,Sku,Description,Details
32,https://www.dollargeneral.com/p/starbucks-k-cup-french-roast-ct/762111888112,Starbucks K-Cup French Roast 10ct,https://dggo.dollargeneral.com/images/16/81/16811801_0.jpg,4.6,6462 ,$9.50,4 in stock at,Starbucks,10.0 each,16811801,[],"{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Starbucks', 'Unit Size': '10.0 each', 'SKU': '16811801'}"
33,https://www.dollargeneral.com/p/artskills-crafter-s-closet-acrylic-craft-paint-assorted-pink-purple/672125064849,"Artskills Crafter'S Closet Acrylic Craft Paint, Assorted Pink/Purple",https://dggo.dollargeneral.com/images/22/75/22755601_0.jpg,0.0,Number of Reviews is not available,$1.00,5 in stock at,Artskills,1.0 each,22755601,[],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.0 each', 'SKU': '22755601'}"
34,https://www.dollargeneral.com/p/scent-happy-bath-bomb-citrus-sunrise/811170039680,Scent Happy Bath Bomb Citrus Sunrise,https://dggo.dollargeneral.com/images/30/97/30976201_0.jpg,0.0,Number of Reviews is not available,$1.00,5 in stock at,Scent Happy,1.0 each,30976201,"['PLACE BATH BOMB IN WARM WATER, LET THE BATH BOMB DISOLVE AND RELEASE SCENT.', 'Citrus Sunrise- Rise and shine with the sunny sweet scents of tangy orange & juice peach nectar.Smells like...A Sunday drive through orange orchards.']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Scent Happy', 'Unit Size': '1.0 each', 'SKU': '30976201'}"
35,https://www.dollargeneral.com/p/dr-teal-s-nourish-protect-coconut-oil-bath-salt-lbs-/811068015024,"Dr. Teal'S Nourish & Protect Coconut Oil Bath Salt, 3 Lbs.",https://dggo.dollargeneral.com/images/21/71/21711001_0.jpg,4.8,5 ,$4.50,Out of stock at,Dr Teals,3.0 pound,21711001,['3lbs'],"{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Dr Teals', 'Unit Size': '3.0 pound', 'SKU': '21711001'}"
36,https://www.dollargeneral.com/p/artskills-crafters-closet-hot-glue-gun/672125036341,Artskills Crafters Closet Hot Glue Gun,https://dggo.dollargeneral.com/images/16/58/16584901_0.jpg,1.9,12 ,$8.00,3 in stock at,Artskills,1.0 each,16584901,"['Heats up quickly', '5-foot cord', 'Includes wire stand', 'Uses 3.94 in (10 cm) glue sticks']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.0 each', 'SKU': '16584901'}"
37,https://www.dollargeneral.com/p/root-to-end-dry-shampoo-fl-oz/840797143395,"Root To End Dry Shampoo, 5 Fl Oz",https://dggo.dollargeneral.com/images/27/67/27676201_0.jpg,4.4,84 ,$5.00,Out of stock at,root to end,5.0 ounce,27676201,['Quickly leaves hair feeling clean and refreshed'],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'root to end', 'Unit Size': '5.0 ounce', 'SKU': '27676201'}"
38,https://www.dollargeneral.com/p/artskills-crafters-closet-acrylic-paint-blue-black/672125036648,Artskills Crafters Closet Acrylic Paint Blue/Black,https://dggo.dollargeneral.com/images/16/58/16586106_0.jpg,0.0,Number of Reviews is not available,$1.00,2 in stock at,Artskills,1.96 ounce,16586106,"['Blue & Black assorted paints', 'Add color to any craft']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.96 ounce', 'SKU': '16586106'}"
39,https://www.dollargeneral.com/p/dr-teal-s-kids--in--bubble-bath-body-wash-shampoo---sleep-bath-with-melatonin-fl-oz/810021200217,"Dr Teal'S Kids 3-In-1 Bubble Bath, Body Wash & Shampoo - Sleep Bath With Melatonin, 20 Fl Oz",https://dggo.dollargeneral.com/images/31/36/31368701_0.jpg,4.8,20 ,$6.00,3 in stock at,Dr Teals,20.0 ounce,31368701,"['Gentle cleansers make incredible bubbles for great-smelling bubble bath', 'With Elderberry, Vitamin C and natural essential oils to help your']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Dr Teals', 'Unit Size': '20.0 ounce', 'SKU': '31368701'}"
40,https://www.dollargeneral.com/p/root-to-end-bolder-blonde-purple-shampoo-fl-oz/840797143340,"Root To End Bolder Blonde Purple Shampoo, 13 Fl Oz",https://dggo.dollargeneral.com/images/27/65/27656401_0.jpg,4.6,88 ,$5.00,1 in stock at,root to end,13.0 ounce,27656401,[],"{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'root to end', 'Unit Size': '13.0 ounce', 'SKU': '27656401'}"
41,https://www.dollargeneral.com/p/artskills-crafter-s-closet-canvas-boards-in-x-in/672125055366,"Artskills Crafter'S Closet Canvas Boards, 8 In X 10 In",https://dggo.dollargeneral.com/images/20/56/20564301_0.jpg,0.0,Number of Reviews is not available,$4.00,1 in stock at,Artskills,2.0 each,20564301,[],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '2.0 each', 'SKU': '20564301'}"
42,https://www.dollargeneral.com/p/crafter-s-closet-white-a-cards-envelopes-sets/5050489126666,"Crafter'S Closet White A2 Cards & Envelopes, 10 Sets",https://dggo.dollargeneral.com/images/22/74/22744101_0.jpg,4.3,12 ,$1.00,Out of stock at,Brand Description not available,10.0 each,22744101,"['White Paper Stock', 'A2 Size Cards & Envelopes (4.25"" x 5.5"")', '10 sets per Pack']","{'Available': 'In Store, DG Pickup', 'Unit Size': '10.0 each', 'SKU': '22744101'}"
43,https://www.dollargeneral.com/p/root-to-end-replenishing-conditioner-fl-oz/840797143333,"Root To End Replenishing Conditioner, 13 Fl Oz",https://dggo.dollargeneral.com/images/27/65/27657301_0.jpg,4.6,21 ,$5.00,4 in stock at,root to end,13.0 ounce,27657301,[],"{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'root to end', 'Unit Size': '13.0 ounce', 'SKU': '27657301'}"
44,https://www.dollargeneral.com/p/clover-valley-pineapple-juice-fl-oz-/41152102488,"Clover Valley 100% Pineapple Juice, 32 Fl. Oz.",https://dggo.dollargeneral.com/images/20/42/20421301_0.jpg,2.7,3 ,$2.75,9 in stock at,Clover Valley,32.0 ounce,20421301,"['Excellent source of Vitamins', 'No added sugar', 'From concentrate with added ingredients', '32 fl. Oz']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Clover Valley', 'Unit Size': '32.0 ounce', 'SKU': '20421301'}"
45,https://www.dollargeneral.com/p/artskills-crafter-s-closet-artist-specialty-brush-set-pc/672125064894,"Artskills Crafter'S Closet Artist Specialty Brush Set, 6 Pc",https://dggo.dollargeneral.com/images/22/74/22749801_0.jpg,0.0,Number of Reviews is not available,$4.50,9 in stock at,Artskills,6.0 each,22749801,"['6 count', 'Assorted variety', 'Great for home or school use']","{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '6.0 each', 'SKU': '22749801'}"
46,https://www.dollargeneral.com/p/artskills-crafters-closet-assorted-brush-set-ct-/672125036587,"Artskills Crafters Closet Assorted Brush Set, 6 Ct.",https://dggo.dollargeneral.com/images/16/58/16585802_0.jpg,5.0,1 ,$4.00,3 in stock at,Artskills,6.0 each,16585802,"['Assortment of sizes and types of art brushes', 'Great for use on multiple surfaces', 'Mixed sizes of synthetic bristles and foam brushes']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '6.0 each', 'SKU': '16585802'}"
47,https://www.dollargeneral.com/p/root-to-end-replenishing-shampoo-fl-oz/840797143326,"Root To End Replenishing Shampoo, 13 Fl Oz",https://dggo.dollargeneral.com/images/27/65/27656801_0.jpg,4.4,99 ,$5.00,2 in stock at,root to end,13.0 ounce,27656801,[],"{'Available': 'Shipping, In Store,DG Pickup', 'Brand Description': 'root to end', 'Unit Size': '13.0 ounce', 'SKU': '27656801'}"
48,https://www.dollargeneral.com/p/artskills-crafter-s-closet-full-size-glue-sticks-ct/672125067109,"Artskills Crafter'S Closet Full Size Glue Sticks, 30 Ct",https://dggo.dollargeneral.com/images/24/38/24384202_0.jpg,0.0,Number of Reviews is not available,$5.00,Out of stock at,Artskills,30.0 each,24384201,[],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '30.0 each', 'SKU': '24384201'}"
49,https://www.dollargeneral.com/p/artskills-crafter-s-closet-double-ended-brush-tip-markers/672125064917,Artskills Crafter'S Closet Double Ended Brush-Tip Markers,https://dggo.dollargeneral.com/images/22/74/22747301_0.jpg,1.5,2 ,$6.50,9 in stock at,Artskills,8.0 each,22747301,"['One end is a brush tip marker. The other end a fine-tip marker.', 'Add details and designs to craft projects, stationery, and more.', '8 markers']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '8.0 each', 'SKU': '22747301'}"
50,https://www.dollargeneral.com/p/root-to-end-extra-hold-hair-spray-fl-oz/840797143401,"Root To End Extra Hold Hair Spray, 8 Fl Oz",https://dggo.dollargeneral.com/images/27/67/27675801_0.jpg,4.5,79 ,$5.00,2 in stock at,root to end,8.0 ounce,27675801,"['The fine mist is fast-drying, and']","{'Available': 'In Store, DG Pickup', 'Brand Description': 'root to end', 'Unit Size': '8.0 ounce', 'SKU': '27675801'}"
51,https://www.dollargeneral.com/p/bodycology-cherry-blossom-fragrance-mist-fl-oz/885645012300,"Bodycology Cherry Blossom Fragrance Mist, 8 Fl Oz",https://dggo.dollargeneral.com/images/30/79/30799101_0.jpg,0.0,Number of Reviews is not available,$4.35,2 in stock at,Brand Description not available,8.0 ounce,30799101,"['For a splash of fragrance, spritz lightly on wrists, neck and shoulders or for all-over freshness, spray in to the air and let the fine mist gently surround you.', ""You may also like Bodycology's other great scents! Bodycology offers a selection of beautiful scents suitable for everyday or special occasions."", 'WARM & FLORAL SCENT: Cherry Bl']","{'Available': 'In Store, DG Pickup', 'Unit Size': '8.0 ounce', 'SKU': '30799101'}"
52,https://www.dollargeneral.com/p/artskills-crafter-s-closet-permanent-tape-runner/672125064986,Artskills Crafter'S Closet Permanent Tape Runner,https://dggo.dollargeneral.com/images/22/75/22751901_0.jpg,4.0,4 ,$1.00,3 in stock at,Artskills,1.0 each,22751901,[],"{'Available': 'In Store, DG Pickup', 'Brand Description': 'Artskills', 'Unit Size': '1.0 each', 'SKU': '22751901'}"
